image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
1;Oranges;Universal;2;Natural;Sweet;Raw;Food;40.39.00;114.17.00;205.33.00;4.00;58.00.00;164.59.00;78.18.00;0.10;44.15.00;12.58;11.33;138.48.00;38.53.00;4.51;4.03;11.28;33.29.00;1702;121.33.00;105.52.00;52.59.00;7.49;73.07.00;19.18;75.7;16.58;73.18.00;21.37;71.02.00;18.1;56.31.00;27.05.00;54.17.00;25.41.00;55.13.00;32.23.00;60.34.00;21.18;84.3;13.36;88.07.00;12.3;85.13.00;14.54;80.47.00;12.07;65.09.00;26.5;64.13.00;27;66.25.00;30.02.00;65.38.00;23.01
2;Apples;Universal;3;Natural;Sweet;Raw;Food;55.38.00;6.34;131.44.00;6.50;56.21.00;163.43.00;72.53.00;0.10;51.38.00;15.22;12.56;160.02.00;55.00.00;5.37;9.01;15.25;54.23.00;3375;198.55.00;85.19.00;60.20.00;21.01;69.22.00;22.24;73.11.00;16.1;73.03.00;24.01.00;60.48.00;24.14.00;53.16.00;27.17.00;51.44.00;24.34.00;59.17.00;31.34.00;50.01.00;25.25.00;83.01.00;18.11;87.22.00;12.52;86.4;19.04;74.32.00;19.22;63.08.00;28.46.00;61.32.00;27.19.00;69.23.00;29.35.00;59.06.00;29.28.00
3;Apple + parts;Universal;12;Natural;Sweet;Raw;Food;69.28.00;160.37.00;212.24.00;9.27;58.12.00;162.48.00;81.59.00;0.10;56.42.00;17.22;16.06;57.11.00;55.17.00;7.38;12.19;17.48;76.27.00;3160;147.02.00;76.11.00;59.44.00;30.45.00;72.28.00;22.13;71.07.00;16.14;81.24.00;17.1;61.54.00;26.16.00;56.02.00;28.26.00;48.26.00;27.55.00;63.08.00;28.28.00;55.14.00;28.07.00;85.33.00;14.05;87.21.00;11.33;87.07.00;12.41;82.17.00;17.19;67.19.00;25.45.00;65.29.00;23.37;70.29.00;25.22.00;65.09.00;28.01.00
4;Appleparts;Universal;11;Natural;Sweet;Raw;Food;51.55.00;127.32.00;72.42.00;7.13;64.38.00;163.48.00;77.07.00;0.10;51.34.00;16.21;13.59;42.57.00;48.03.00;7.56;9.29;16.04;63.36.00;2744;186.59.00;75.26.00;61.07.00;30.07.00;67.6;22.58;69.07.00;22.09;73.28.00;21.09;62.01.00;24.02.00;54.31.00;29.49.00;50.33.00;31.48.00;58.25.00;31.22.00;54.17.00;26.17.00;84.34.00;14.11;88.26.00;12.18;84.06.00;13.02;79.14.00;15.35;63.19.00;30.16.00;60.31.00;32.57.00;66.58.00;30.27.00;63.22.00;28.17.00
5;Grasshopper;Unappealing;50;Natural;Savory;;Food;51.47.00;154.59.00;117.34.00;23.38;52.09.00;158.04.00;70.06.00;0.10;66.41.00;20.45;17.15;129.15.00;59.43.00;12.40;22.30;28.55.00;130.58.00;1794;126.19.00;73.43.00;58.17.00;34.41.00;17.05;21.04;15.24;23.57;21.15;23.42;15.02;16.05;25.29.00;27.16.00;24.45.00;31.28.00;24.37.00;23.01;26.15.00;28.26.00;49.24.00;30.11.00;46.26.00;31.9;53.16.00;28.16.00;47.59.00;30.14.00;13.11;22.39;15.06;26.09.00;19.19;26.14.00;6.29;9.31
6;Crostini;Western;1;Transformed;Savory;;Food;28.55.00;91.55.00;131.45.00;8.22;62.45.00;163.32.00;68.09.00;0.10;48.41.00;14.48;9.54;14.08;24.43.00;7.43;8.59;14.26;53.08.00;1926;119.11.00;79.31.00;58.43.00;28.27.00;33.55.00;25.09.00;39.24.00;29.12.00;30.11.00;21.3;32.58.00;25.33.00;33.09.00;26.05.00;34.16.00;30.21.00;28.2;19.9;36.15.00;26.32.00;37.29.00;20.31;42.21.00;21.26;36.09.00;17.23;33.31.00;22.19;28.19.00;27.11.00;34.31.00;33.47.00;21.2;19.05;30.32.00;25.55.00
7;Liquorice;Western;22;Transformed;Sweet;;Food;26.29.00;8.18;164.08.00;6.21;61.24.00;164.15.00;68.08.00;0.11;44.34.00;12.13;7.33;149.46.00;39.27.00;6.56;6.34;15.42;37.51.00;1218;162.16.00;65.23.00;55.17.00;45.59.00;33.14.00;24.34.00;42.34.00;23.11;33.37.00;27.33.00;24.25.00;20.18;31.19.00;26.17.00;33.04.00;24.12.00;27.19.00;29.3;33.06.00;25.09.00;15.52;16.39;12.24;15.15;15.57;17.14;19.24;17.4;22.34;24.08.00;29;27.15.00;21.22;25.45.00;17.18;18.23
8;Fishburger;Western;1;Transformed;Savory;;Food;31.59.00;111.43.00;115.46.00;6.25;60.55.00;163.59.00;74.35.00;0.10;48.18.00;13.38;11.48;3.34;45.33.00;6.40;7.31;16.15;45.41.00;2860;203.54.00;85.43.00;57.32.00;23.25;51.29.00;24.28.00;48.15.00;23.29;49.43.00;24.24.00;57.19.00;25.54.00;50.37.00;26.18.00;43.44.00;27.43.00;48.59.00;27.8;59.39.00;20.47;27.7;19.16;26.3;22.26;26.41.00;18.05;31.15.00;18.07;42.36.00;30.13.00;31.33.00;29.52.00;44.43.00;30.39.00;51.04.00;28.35.00
9;Greek salad;Universal;Complex;Transformed;Savory;Raw;Food;69.32.00;33.03.00;212.01.00;15.19;46.24.00;160.46.00;83.28.00;0.10;63.58.00;19.36;16.30;90.22.00;68.20.00;9.27;24.02.00;21.53;105.47.00;3351;53.45.00;65.51.00;69.56.00;30.54.00;62.44.00;25.45.00;74.47.00;18.06;61.37.00;23.38;53.18.00;30.08.00;51.41.00;27.36.00;56.2;28.18.00;53.27.00;28.31.00;45.36.00;26.03.00;80.23.00;18.49;84.7;14.51;80.08.00;17.19;75.58.00;22.24;56.6;30.28.00;61.8;32.21.00;55.29.00;27.7;53.39.00;30.4
10;Kiwis;Universal;4;Natural;Sweet;Raw;Food;41.31.00;94.42.00;170.39.00;7.06;55.13.00;163.33.00;73.43.00;0.10;50.52.00;15.03;12.31;144.40.00;36.07.00;8.18;9.31;12.40;44.49.00;941;92.47.00;81.00.00;57.55.00;27.45.00;63.16.00;23.8;63.38.00;27.25.00;62.32.00;23;62.58.00;22.05;52.06.00;27.03.00;52.12.00;28.28.00;47.16.00;26.33.00;57;26.34.00;81.35.00;16.28;87.44.00;12.23;81.45.00;11.12;74.18.00;20.39;59.04.00;29.2;61.41.00;28.24.00;61.05.00;30.14.00;55.24.00;30.12.00
