image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;  CRjpeg;  CRgif;FC;SE;NPO;  MIGh; MIGs; MIGv ;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
1;Oranges;Universal;2;Natural;Sweet;Raw;Food;0.2439;4.6617;63.8553;0.0240;0.3480;0.9899;0.4698;0.0010;0.2655;0.0778;2.573;1.8268;0.2333;0.0291;0.0243;0.0688;0.2009;1702;69.3153;0.6352;0.3179;0.0469;73.07;18.78;75.7;16.58;73.18;20.97;70.62;18.1;56.31;26.65;53.77;25.41;55.13;31.83;59.94;20.78;84.3;13.36;88.07;12.3;84.73;14.54;80.47;12.07;65.09;26.5;63.73;27;65.85;29.62;65.38;22.61
2;Apples;Universal;3;Natural;Sweet;Raw;Food;0.3338;5.0094;65.4004;0.0410;0.3381;0.9823;0.4373;0.0010;0.3098;0.0922;2.656;1.9542;0.3300;0.0337;0.0541;0.0925;0.3263;3375;61.8275;0.5119;0.3620;0.1261;68.82;21.84;72.71;16.1;73.03;23.61;60.48;23.74;53.16;26.77;51.44;23.94;58.77;31.34;49.61;24.85;82.61;17.71;86.82;12.52;86.4;18.64;74.32;19.22;63.08;28.46;61.32;27.19;69.23;29.35;59.06;28.88
3;Apple + parts;Universal;12;Natural;Sweet;Raw;Food;0.4168;4.9397;66.8784;0.0567;0.3492;0.9768;0.4919;0.0010;0.3402;0.1042;2.846;2.3311;0.3317;0.0458;0.0739;0.1068;0.4587;3160;59.5282;0.4571;0.3584;0.1845;71.88;21.73;71.07;16.14;81.24;17.1;61.54;25.76;56.02;28.26;47.86;27.55;62.68;28.28;54.74;27.67;85.33;14.05;87.21;11.33;87.07;12.41;81.77;17.19;67.19;25.45;65.29;23.37;70.29;25.22;65.09;27.61
4;Appleparts;Universal;11;Natural;Sweet;Raw;Food;0.3115;4.7412;66.0402;0.0433;0.3878;0.9828;0.4627;0.0010;0.3094;0.0981;2.719;2.2457;0.2883;0.0476;0.0569;0.0964;0.3816;2744;50.8219;0.4526;0.3667;0.1807;67.6;22.58;68.67;21.69;72.88;21.09;61.61;24.02;53.91;29.49;50.33;31.48;57.85;30.82;54.17;26.17;83.94;13.71;88.26;12.18;84.06;12.62;79.14;14.95;63.19;30.16;60.31;32.57;66.58;30.27;63.22;27.77
5;Grasshopper;Unappealing;50;Natural;Savory;;Food;0.3107;4.9059;73.2674;0.1418;0.3129;0.9484;0.4206;0.0010;0.4001;0.1245;2.915;2.7635;0.3583;0.0760;0.1350;0.1735;0.7858;1794;33.5599;0.4423;0.3497;0.2081;17.05;21.04;15.24;23.57;21.15;23.42;14.62;15.65;24.89;27.16;24.45;30.88;23.97;23.01;26.15;28.26;48.84;29.71;45.86;31.9;52.76;28.16;47.59;29.74;13.11;21.99;14.66;25.69;18.79;26.14;6.29;9.31
6;Crostini;Western;1;Transformed;Savory;;Food;0.1735;4.5275;68.3825;0.0502;0.3765;0.9812;0.4089;0.0010;0.2921;0.0888;2.474;2.0728;0.1483;0.0463;0.0539;0.0866;0.3188;1926;31.5291;0.4771;0.3523;0.1707;33.55;25.09;38.84;28.72;29.71;21.3;32.58;24.93;32.69;25.65;34.16;30.21;28.2;19.9;35.75;26.32;36.89;20.31;41.81;20.86;36.09;17.23;33.31;22.19;28.19;26.71;33.91;33.47;21.2;19.05;29.92;25.55
7;Liquorice;Western;22;Transformed;Sweet;;Food;0.1589;4.0258;66.5888;0.0381;0.3684;0.9855;0.4088;0.0011;0.2674;0.0733;2.333;1.8926;0.2367;0.0416;0.0394;0.0942;0.2271;1218;10.9136;0.3923;0.3317;0.2759;33.14;24.34;41.94;22.71;32.97;26.93;24.25;19.78;30.79;26.17;32.64;23.72;27.19;29.3;33.06;25.09;15.52;16.39;12.24;14.75;15.57;16.74;18.84;17.4;22.34;24.08;29;26.75;21.22;25.45;16.78;17.83
8;Fishburger;Western;1;Transformed;Savory;;Food;0.1919;4.6463;66.2986;0.0385;0.3655;0.9839;0.4475;0.0010;0.2898;0.0818;2.588;2.0094;0.2733;0.0400;0.0451;0.0975;0.2741;2860;39.9894;0.5143;0.3452;0.1405;51.29;24.28;48.15;22.89;49.43;24.24;56.79;25.54;50.37;26.18;43.44;27.43;48.59;27.8;59.39;20.47;27.7;19.16;26.3;22.26;26.41;18.05;30.75;17.67;42.36;30.13;30.93;29.52;44.43;30.39;50.64;27.95
9;Greek salad;Universal;Complex;Transformed;Savory;Raw;Food;0.4172;5.1683;69.8581;0.0919;0.2784;0.9646;0.5008;0.0010;0.3838;0.1176;2.870;2.5302;0.4100;0.0567;0.1442;0.1313;0.6347;3351;40.0825;0.3951;0.4196;0.1854;62.44;25.45;74.47;17.66;60.97;22.98;53.18;30.08;51.41;27.36;56.2;28.18;52.87;27.91;45.36;25.63;79.83;18.49;84.7;14.51;79.68;17.19;75.58;22.24;56.6;29.88;61.8;32.21;55.29;27.7;53.39;30.4
10;Kiwis  ;Universal;4;Natural;Sweet;Raw;Food;0.2491;4.5442;66.6279;0.0426;0.3313;0.9813;0.4423;0.0010;0.3052;0.0903;2.631;1.8620;0.2167;0.0498;0.0571;0.0760;0.2689;941;29.3827;0.4860;0.3475;0.1665;62.76;23.8;63.38;26.85;62.32;23;62.58;22.05;52.06;26.63;51.72;27.88;47.16;25.93;57;25.94;80.95;15.88;87.44;11.83;81.45;10.72;74.18;20.39;59.04;29.2;61.41;28.24;60.65;29.74;55.24;30.12
11;Kiwis + parts;Universal;7;Natural;Sweet;Raw;Food;0.2933;4.7768;68.1134;0.0602;0.3239;0.9746;0.4289;0.0010;0.3354;0.0988;2.663;2.0202;0.2867;0.0459;0.0793;0.1151;0.3864;1798;32.3271;0.4423;0.3711;0.1865;66.37;22.21;71.77;21.16;58.53;24.14;71.26;17.84;55.47;25.74;60.83;25.52;49.3;28.93;58.23;20.11;81.95;14.55;88.47;9.98;77.1;16.27;81.9;13.84;59.06;31.26;59.43;30.73;48.83;33.88;71.9;23.27
